iter	Passed	Remaining
0	2	2243
1	4	2268
2	7	2328
3	9	2480
4	12	2397
5	13	2309
6	15	2243
7	17	2190
8	19	2194
9	23	2299
10	27	2448
11	30	2510
12	32	2484
13	35	2507
14	38	2536
15	41	2551
16	45	2633
17	49	2694
18	53	2774
19	56	2783
20	59	2759
21	61	2733
22	64	2728
23	67	2746
24	70	2748
25	74	2772
26	78	2831
27	81	2840
28	85	2864
29	88	2870
30	90	2839
31	92	2808
32	95	2810
33	97	2780
34	99	2752
35	101	2726
36	103	2699
37	105	2674
38	107	2652
39	109	2629
40	111	2608
41	114	2619
42	118	2633
43	121	2634
44	124	2648
45	127	2644
46	129	2630
47	132	2621
48	135	2623
49	138	2630
50	141	2635
51	144	2632
52	147	2639
53	151	2646
54	154	2652
55	158	2663
56	161	2673
57	165	2686
58	169	2699
59	172	2707
60	177	2727
61	180	2732
62	183	2732
63	186	2729
64	190	2736
65	192	2729
66	194	2713
67	197	2708
68	201	2717
69	204	2718
70	207	2711
71	209	2696
72	211	2681
73	214	2680
74	216	2674
75	218	2659
76	220	2643
77	222	2630
78	224	2615
79	227	2611
80	230	2612
81	232	2600
82	234	2590
83	236	2580
84	238	2570
85	241	2569
86	245	2571
87	248	2578
88	251	2572
89	254	2569
90	257	2571
91	259	2564
92	261	2554
93	264	2545
94	266	2535
95	268	2526
96	271	2530
97	274	2529
98	276	2519
99	279	2513
100	281	2507
101	284	2503
102	287	2503
103	291	2510
104	294	2506
105	297	2506
106	299	2497
107	301	2487
108	303	2477
109	306	2478
110	309	2474
111	311	2468
112	313	2463
113	316	2457
114	318	2454
115	322	2455
116	324	2446
117	326	2438
118	328	2432
119	330	2425
120	333	2424
121	335	2414
122	338	2411
123	341	2411
124	343	2406
125	346	2400
126	348	2393
127	350	2389
128	353	2389
129	357	2390
130	360	2392
131	363	2392
132	366	2391
133	369	2385
134	370	2376
135	372	2368
136	374	2360
137	376	2352
138	378	2345
139	380	2337
140	382	2329
141	384	2322
142	386	2314
143	388	2307
144	390	2299
145	391	2292
146	393	2284
147	395	2277
148	397	2270
149	399	2263
150	401	2256
151	403	2249
152	405	2242
153	407	2236
154	408	2229
155	410	2223
156	412	2216
157	414	2209
158	416	2203
159	418	2196
160	421	2195
161	423	2193
162	426	2188
163	429	2188
164	432	2191
165	436	2192
166	439	2194
167	442	2192
168	445	2192
169	448	2190
170	451	2190
171	455	2190
172	458	2189
173	461	2192
174	465	2193
175	467	2189
176	469	2185
177	472	2182
178	476	2184
179	479	2182
180	482	2183
181	486	2186
182	489	2186
183	492	2183
184	494	2177
185	496	2171
186	498	2168
187	503	2173
188	506	2172
189	509	2171
190	512	2169
191	514	2165
192	517	2164
193	522	2168
194	525	2169
195	528	2166
196	531	2166
197	535	2167
198	537	2163
199	539	2159
200	542	2156
201	544	2151
202	546	2147
203	549	2144
204	552	2141
205	554	2139
206	558	2139
